siteID,submission_dt,date,bandNumber,type,status,notes,delete_flag
PERNMIKMD1,,2009-02-09,2301-56041,P,alive,"yearColumn = 2008, banded_6/5; yearColumn = 2009, resighted by participant 9 Feb 2010.",0
WILELINMD1,,2009-02-09,2341-30321,P,alive,"yearColumn = 2008, banded 16 July; yearColumn = 2009, resighted by neighbor 9 Feb",0
COLSKATMD1,,2009-02-10,2341-30305,P,alive,"yearColumn = 2008, banded 17 June; yearColumn = 2009, resighted 10 Feb 2010",0
BUISNORVA1,,2009-02-13,1991-21136,P,alive,"yearColumn = 2007, Banded 30 June; yearColumn = 2009, resighted by participant 13 Feb, 28 march; yearColumn = 2010, resighted by participant 11-13-2010",0
BUISNORVA1,,2009-02-13,2510-03834,P,alive,"yearColumn = 2008, Banded July 13; yearColumn = 2009, resighted by participant 13 Feb, 28 March",0
SUBRSTEMD1,,2009-02-13,2251-80091,P,alive,"yearColumn = 2008, Banded May 27; yearColumn = 2009, resighted by participant 13 Feb; yearColumn = 2010, resighted 5/29/2010; resighted by participant 20 Feb",0
SUBRSTEMD1,,2009-02-13,2251-80092,P,alive,"yearColumn = 2008, Banded 5/27/2008; yearColumn = 2009, resighted by participant 13 Feb; yearColumn = 2010, resighted 5/29/2010",0
CAMPGLOMD1,,2009-02-14,2281-69466,P,alive,"yearColumn = 2008, banded_6/9/08, resighted by participant 10/27/08; yearColumn = 2009, recap 5/12/09 resighted by participant in 1/11/09 -4/23/09; yearColumn = 2010, resighted by participant 1/31/10 and 2/14/10",0
BRENSTEMD1,,2009-02-17,2590-82531,P,alive,"yearColumn = 2009, banded 5/27/2009; yearColumn = 2010, resighted by participant 2/17/10",0
RAUNERIMD1,,2009-02-22,1991-46150,P,alive,"yearColumn = 2007, banded 6 july; yearColumn = 2008, resighted 6 April by participant; yearColumn = 2009, resighted by partic
ipant 22 February. Resighted by JLD 22-Jul; yearColumn = 2010, resighted by participant 20 March; 15 Jan 2011",0
SCHLROBMD1,,2009-02-25,2590-82505,P,alive,"yearColumn = 2009, banded 5/15/2009; yearColumn = 2010, resighted by participant 2/25/10",0
BRENSTEMD1,,2009-02-26,2411-37234,P,alive,"yearColumn = 2009, banded 5/27/2009; yearColumn = 2010, resighted by participant 2/26/10",0
HAMIMARMD1,,2009-02-27,2411-37262,P,alive,"yearColumn = 2009, banded 6/6/2009; yearColumn = 2010, resighted by participant 2/27/10; recaptured 7/13/10",0
YOUNKIMVA1,,2009-02-28,2301-55994,P,alive,"yearColumn = 2008, banded 7/27/2008; yearColumn = 2010, killed by sharp shinned hawk 2/28/2010",0
KEYESUSMD1,,2009-03-09,2301-56621,P,alive,"yearColumn = 2008, banded_6/20/08; yearColumn = 2009, resighted by participant 3/9/2009",0
GERWJOHNC1,,2015-09-06,2180-92460,P,alive,,0
KEYESUSMD1,,2009-03-09,2540-62828,P,alive,"yearColumn = 2008, banded_6/20/08; yearColumn = 2009, resighted by participant 3/9/2009 Recap 6/2/2009",0
WOODPAUVA1,,2009-03-10,1202-99050,P,alive,"yearColumn = 2008, banded by NNW; yearColumn = 2009, resighted by participant 10 March",0
WOODPAUVA1,,2009-03-10,2301-08219,P,alive,"yearColumn = 2007, banded by participant 1/2007; yearColumn = 2008, recaptured by NNW 7/1/2008; yearColumn = 2009, resighted by participant 10,25 March; 20 May; yearColumn = 2010, resighted by participant 27 March; 7 June",0
WARDDOUVA1,,2009-03-14,742-29177,P,alive,"yearColumn = 2008, banded 5 july; yearColumn = 2009, resighted 14 March by participant; yearColumn = 2010, resighted by participant 5 April; yearColumn = 2011, resighted by participant 27 Feb",0
BLOCDAVMD1,,2009-03-15,2241-17620,P,alive,"yearColumn = 2005, banded 23 Jun; yearColumn = 2008, resighted 5/17; yearColumn = 2009, RESIGHTED BY PARTICIPANT",0
