dbTable,shinyTable,project,column_order,in_shinyTable,derived_shiny,inDb,dbName,shinyName,colClass_R,colClass_hot,precision,get_fieldDef,shiny_width,get_derived,get_derived_db
techRs,techRs,Neighborhood Nestwatch,10,TRUE,FALSE,TRUE,lat,<b>latitude (dd.dddd)</b>,numeric,numeric,"""0.00000""",NULL,125,NA,NA
techRs,techRs,Neighborhood Nestwatch,11,TRUE,FALSE,TRUE,type,<b>resight type</b>,character,dropdown,NA,"getDropdown('choice_resight', fieldOptions)",100,NA,NA
techRs,techRs,Neighborhood Nestwatch,12,TRUE,FALSE,TRUE,notes,<b>notes</b>,character,NA,NA,NULL,300,NA,NA
pointCounts,pointCounts,Neighborhood Nestwatch,1,FALSE,FALSE,TRUE,siteID,NA,character,NA,NA,NULL,NA,NA,NA
pointCounts,pointCounts,Neighborhood Nestwatch,2,TRUE,FALSE,TRUE,observer,<b>observer</b>,character,NA,NA,NULL,100,NA,NA
pointCounts,pointCounts,Neighborhood Nestwatch,3,FALSE,FALSE,TRUE,date,NA,character,NA,NA,NULL,NA,NA,NA
pointCounts,pointCounts,Neighborhood Nestwatch,4,TRUE,FALSE,TRUE,startTime,<b>Start time</b>,character,NA,NA,NULL,100,NA,NA
pointCounts,pointCounts,Neighborhood Nestwatch,5,TRUE,FALSE,TRUE,interval,<b>interval</b>,character,dropdown,NA,eval(parse(text = '1:3')),100,NA,NA
pointCounts,pointCounts,Neighborhood Nestwatch,6,TRUE,FALSE,TRUE,spp,<b>species</b>,character,dropdown,NA,eval(parse(text = 'aou'))$Alpha,100,NA,NA
pointCounts,pointCounts,Neighborhood Nestwatch,7,TRUE,FALSE,TRUE,d10,<b>dist < 10</b>,integer,numeric,NA,NULL,100,NA,NA
pointCounts,pointCounts,Neighborhood Nestwatch,8,TRUE,FALSE,TRUE,d20,<b>dist 10-20</b>,integer,numeric,NA,NULL,100,NA,NA
pointCounts,pointCounts,Neighborhood Nestwatch,9,TRUE,FALSE,TRUE,d30,<b>dist 20-30</b>,integer,numeric,NA,NULL,100,NA,NA
pointCounts,pointCounts,Neighborhood Nestwatch,10,TRUE,FALSE,TRUE,d40,<b>dist 30-40</b>,integer,numeric,NA,NULL,100,NA,NA
pointCounts,pointCounts,Neighborhood Nestwatch,11,TRUE,FALSE,TRUE,d50,<b>dist 40-50</b>,integer,numeric,NA,NULL,100,NA,NA
pointCounts,pointCounts,Neighborhood Nestwatch,12,TRUE,FALSE,TRUE,detection,<b>detection</b>,character,dropdown,NA,"getDropdown('choice_detection', fieldOptions)",100,NA,NA
visits,visits,Neighborhood Nestwatch,1,FALSE,FALSE,TRUE,siteID,NA,character,NA,NA,NULL,NA,NA,NA
visits,visits,Neighborhood Nestwatch,2,FALSE,FALSE,TRUE,date,NA,character,NA,NA,NULL,NA,NA,NA
captures,captures,Neighborhood Nestwatch,1,FALSE,FALSE,TRUE,siteID,NA,character,NA,NA,NULL,NA,NA,NA
visits,visits,Neighborhood Nestwatch,3,FALSE,FALSE,TRUE,observer,<b>observer</b>,character,NA,NA,NULL,NA,NA,NA
