siteID,date,observer,forayNumber,startTime,endTime,pathDist
WINTCHAFL1,2018-06-28,ERF,1,0930,1100,2120
KENTADAFL1,2018-06-18,ERF,1,0930,1100,2030
WESCCATMA1,2018-06-20,TAH,1,1033,1254,
HALLJENMA1,2018-06-24,TAH,1,1038,1248,2784
LAPPHENMA1,2018-06-26,TAH,1,1048,1225,2221
MURPELEMA1,2018-06-29,TAH,1,1157,1354,2768
SHEAMARMA1,2018-07-03,TAH,1,1106,1242,2430
GRIFRACMA1,2018-07-02,TAH,1,1123,1332,3412
VERSMATMA1,2018-07-05,TAH,1,1137,1301,2172
GAIEMELMA1,2018-07-04,TAH,1,1045,1222,2414
BRYAANGFL1,2018-06-23,ERF,1,0930,1100,1880
PATCLORDC1,2018-06-20,JYR,1,1008,1121,1880
VERSBETMD2,2018-06-29,MAV,1,0951,1038,1245
VERSBETMD2,2018-06-29,JYR,2,0955,1038,1405
SILLSCOMD1,2018-07-03,JYR,1,0954,1123,2120
SILLSCOMD1,2018-07-03,MAV,2,0955,1042,2108
SURNSANMA1,2018-07-10,TAH,1,1119,1258,3701
STEVSADMA1,2018-07-08,TAH,1,1103,1211,2349
BULLTHOMA1,2018-07-11,TAH,1,1048,1245,2929
BENNBILMA1,2018-07-12,TAH,1,0720,1019,3186
TOSCPAMMA1,2018-07-12,TAH,1,1047,1250,2108
BROWANNDC1,2018-06-27,JYR,1,0904,1018,2350
BROWANNDC1,2018-06-27,MAV,2,0859,1031,2787
BLANBETMD1,2018-07-12,JYR,1,1000,1106,1860
LOWRSTEFL1,2018-06-29,ERF,1,0930,1100,1970
DOWDMIRNC1,2018-06-23,EAF,1,1000,1130,3150
FERNKARNC1,2018-07-07,EAF,1,0950,1115,2490
FOSTSTENC1,2018-06-28,EAF,1,0935,1138,4150
GERWJOHNC1,2018-06-25,EAF,1,1000,1055,1400
GERWJOHNC1,2018-06-25,EAF,2,1115,1142,1380
GOINJANNC1,2018-07-13,EAF,1,1030,1200,2910
HARVSUENC1,2018-06-19,EAF,1,0900,1115,2930
HINTLORNC1,2018-07-09,EAF,1,1000,1138,3590
JENSKEINC1,2018-06-20,EAF,1,0915,1000,1450
