siteID,date,observer,forayNumber,startTime,endTime,pathDist
MCGEMANPA1,2018-07-31,AMV,1,0833,0915,500
MCGEMANPA1,2018-07-31,DLC,1,0833,0915,800
MEADRUTNC1,2018-04-18,EAF,1,1000,1117,1900
LINDOLIPA1,2018-08-04,AMV,1,1000,1130,0
KOBEDANPA1,2018-08-05,AMV,1,1000,1100,800
PENNGRANC1,2018-06-26,,,,,
MARNMELPA1,2018-08-13,AMV,1,1030,1130,0
SANFTIFNC1,2018-05-12,EAF,1,1100,1215,1930
SIMPEDWNC1,2018-05-20,EAF,1,1300,1430,1840
SORECLYNC1,2018-04-30,EAF,1,1011,1201,2960
TAYLJERNC1,2018-06-08,EAF,1,1045,1220,2820
WALTANNNC1,2018-05-04,EAF,1,1100,1245,3510
WANGMATNC1,2018-05-02,EAF,1,1045,1145,1850
WILLAMBNC1,2018-06-12,EAF,1,1010,1130,1880
KINGHUGCO1,2018-06-12,MMB,1,1000,1038,970
BERASHEPA1,2018-05-29,RSM,1,1100,1200,0
LEEJOEPA1,2018-06-09,AMV,1,0930,1030,0
NIKODONPA1,2018-06-29,AMV,1,1000,1030,0
NEWTMICPA1,2018-07-24,RSM,1,0745,0820,1000
NEWTMICPA1,2018-07-24,AMV,1,0745,0820,1000
NEWTMICPA1,2018-07-24,DLC,1,0745,0820,0
WOHLKENCO1,2018-06-02,CAW,1,1018,1059,1560
