siteID,observer,date,startTime,interval,spp,d10,d20,d30,d40,d50,detection
MCKICAIMA1,KMB,2018-07-10,0718,1,HOSP,0,0,2,0,0,A
MCKICAIMA1,KMB,2018-07-10,0718,1,NOCA,0,2,0,0,0,A
MCKICAIMA1,KMB,2018-07-10,0718,1,GRCA,0,0,0,0,1,A
MCKICAIMA1,KMB,2018-07-10,0718,2,NOCA,0,2,0,0,0,A
MCKICAIMA1,KMB,2018-07-10,0718,2,AMRO,0,1,0,0,1,A
MCKICAIMA1,KMB,2018-07-10,0718,2,BLJA,0,0,1,0,1,A
MCKICAIMA1,KMB,2018-07-10,0718,2,HOSP,0,0,1,3,0,A
MCKICAIMA1,KMB,2018-07-10,0718,3,BLJA,0,1,0,0,1,A
MCKICAIMA1,KMB,2018-07-10,0718,3,NOCA,0,2,0,0,2,A
MCKICAIMA1,KMB,2018-07-10,0718,3,HOSP,0,0,2,0,0,B
MCKICAIMA1,KMB,2018-07-10,0718,3,AMRO,0,1,0,0,2,A
MCKICAIMA1,KMB,2018-07-10,0718,3,GRCA,0,0,0,0,1,A
MCKICAIMA1,KMB,2018-07-10,0718,3,WBNU,NA,NA,NA,1,NA,A
MCKICAIMA1,KMB,2018-07-10,0718,3,AMGO,NA,NA,NA,1,NA,A
ZEPKJANMA1,KMB,2018-07-11,0702,1,BCCH,0,0,0,1,0,A
ZEPKJANMA1,KMB,2018-07-11,0702,1,AMRO,0,0,0,2,0,A
ZEPKJANMA1,KMB,2018-07-11,0702,1,HOWR,0,0,0,1,0,A
ZEPKJANMA1,KMB,2018-07-11,0702,1,BLJA,1,1,0,0,0,B
ZEPKJANMA1,KMB,2018-07-11,0702,1,BHCO,2,0,0,0,0,B
ZEPKJANMA1,KMB,2018-07-11,0702,1,HOSP,2,2,0,0,0,B
ZEPKJANMA1,KMB,2018-07-11,0702,1,RBWO,0,1,0,0,0,V
ZEPKJANMA1,KMB,2018-07-11,0702,1,GRCA,0,1,0,0,0,A
ZEPKJANMA1,KMB,2018-07-11,0702,2,BCCH,0,0,0,0,0,B
ZEPKJANMA1,KMB,2018-07-11,0702,2,AMRO,0,0,0,0,1,A
ZEPKJANMA1,KMB,2018-07-11,0702,2,MODO,0,0,0,NA,4,B
ZEPKJANMA1,KMB,2018-07-11,0702,2,HOSP,0,2,0,0,2,B
ZEPKJANMA1,KMB,2018-07-11,0702,2,COGR,0,0,1,0,NA,A
ZEPKJANMA1,KMB,2018-07-11,0702,2,AMRO,0,1,0,0,0,B
ZEPKJANMA1,KMB,2018-07-11,0702,2,SOSP,0,0,0,0,1,A
ZEPKJANMA1,KMB,2018-07-11,0702,3,BCCH,NA,2,NA,NA,NA,B
ZEPKJANMA1,KMB,2018-07-11,0702,3,AMRO,NA,2,NA,NA,NA,B
ZEPKJANMA1,KMB,2018-07-11,0702,3,SOSP,NA,NA,NA,NA,1,A
