siteID,date,observer,participantEngagement,encounteredBirds,netHours,notes,entryTime,project,modTime,visitNotes
KLUBKARFL1,2018-05-25,ERF,Does not apply,None,0,RESIGHT ONLY,1527616907.641,NA,NA,NA
HAZZIANFL1,2018-05-25,ERF,Does not apply,None,0,RESIGHT ONLY,1527617091.049,NA,NA,NA
FORESPKMA1,2018-05-29,KMB,Does not apply,Captures,8.416666667,Duggan YAG,1527618278.97,NA,NA,NA
DUMBOPKDC1,2018-06-07,DLM,,Captures and resights,0,,1528387805.226,grca,NA,NA
YOUNKIMVA1,2018-06-11,AMB,,,0,,1528731295.461,Neighborhood Nestwatch,NA,NA
WILLTINVA1,2018-06-11,MAV,,,0,,1528731810.574,Neighborhood Nestwatch,NA,NA
SIZOOPKDC1,2018-06-12,GRD,,Resights,0,,1528819815.821,grca,NA,NA
SIZOOPKDC1,2018-06-20,GRD,,Resights,0,,1529502450.181,grca,NA,NA
TANGLAUDC1,2017-05-10,DLM,,,0,,1529681636.088,grca,NA,NA
GOROCARDC1,2018-05-28,JYR,Does not apply,None,0,,NA,Neighborhood Nestwatch,2018-07-18 17:33:12,NA
JACKALADC1,2018-07-20,MAV,Does not apply,None,0,,1532104037.741,Neighborhood Nestwatch,NA,NA
WESTOPKVA1,2018-06-12,DLM,Does not apply,Captures,0,,1532442168.598,grca,NA,NA
DONOLORDC2,2018-06-13,MAV,Does not apply,None,NA,,NA,Neighborhood Nestwatch,2018-07-24 13:47:28,NA
NZPSMBCDC1,2018-10-30,BSE,Does not apply,Captures,0,test,1540911254.319,nzpBanding,NA,NA
NZPSMBCDC1,2018-10-30,BSE,Does not apply,Captures,0,test,1540911367.07,nzpBanding,NA,NA
NZPSMBCDC1,2018-10-30,BSE,Does not apply,None,0,test,1540911568.489,nzpBanding,NA,NA
NZPSMBCDC1,2018-10-30,BSE,Does not apply,None,0,test,1540911853.053,nzpBanding,NA,NA
NZPSMBCDC1,2018-10-30,BSE,Does not apply,None,0,test,1540912701.487,nzpBanding,NA,NA
SULLLORCO1,2017-07-19,"AM,CB",4,N,6,AMRO present,NA,NA,NA,NA
BANDKENVA1,2017-07-20,TBR,99999,Y,99999,noData,NA,NA,NA,NA
BLANBETMD1,2017-07-20,JLM,-,Y,0,Resight only,NA,NA,NA,NA
BRIGKIMMD1,2017-07-20,JLM,-,Y,0,Resight only,NA,NA,NA,NA
ODELVINMD2,2017-07-20,JLM,-,N,0,Resight only,NA,NA,NA,NA
OPALDPKMD1,2017-07-20,"AEH,DLM,KME,GRD",noData,Y,0,noData,NA,NA,NA,NA
REIDLOLMA1,2017-07-20,JLK,5,Y,6,noData,NA,NA,NA,NA
WHEATPKMD1,2017-07-20,"AEH,DLM,KME",noData,Y,0,noData,NA,NA,NA,NA
BROOKSIMD1,2017-07-21,DLM,99999,Y,99999,noData,NA,NA,NA,NA
DECHKIMMD2,2017-07-21,JLM,-,N,0,Resight only,NA,NA,NA,NA
GOMEKARMD1,2017-07-21,JLM,-,N,0,Resight only,NA,NA,NA,NA
JAKUSTEMA1,2017-07-21,JLK,4,Y,7.5,noData,NA,NA,NA,NA
MILLJOEMD1,2017-07-21,JLM,-,Y,0,Resight only,NA,NA,NA,NA
RYANKATCO1,2017-07-21,AM,5,Y,19.7,noData,NA,NA,NA,NA
WHEATPKMD1,2017-07-21,AEH TBR DLM KME,noData,Y,0,noData,NA,NA,NA,NA
PIROELADC1,2017-07-22,JLM,3,Y,3.3,noData,NA,NA,NA,NA
SURNSCOMA1,2017-07-22,JLK,4,Y,9,noData,NA,NA,NA,NA
GAIEMELMA1,2017-07-23,JLK,2,Y,6,noData,NA,NA,NA,NA
HOPEGREPA1,2017-07-23,RSM,noData,Y,20,Net hours estimated,NA,NA,NA,NA
MEGOPATMD2,2017-07-24,JLM,-,N,0,Resight only,NA,NA,NA,NA
MOLIKARMD1,2017-07-24,JLM,-,N,0,Resight only,NA,NA,NA,NA
SURNSANMA1,2017-07-24,JLK,4,Y,7.5,`,NA,NA,NA,NA
WHEATPKMD1,2017-07-24,"GRD, KME, AEH",99999,Y,99999,noData,NA,NA,NA,NA
BYERHEAPA1,2017-07-25,LY,5,Y,12,noData,NA,NA,NA,NA
GIRLSINMA1,2017-07-25,ASJ,5,N,7.5,NO FOCAL SPECIES ENCOUNTERED,NA,NA,NA,NA
JACOSYDMD1,2017-07-25,"JLM,AKW",5,Y,12,noData,NA,NA,NA,NA
SIZOOPKDC1,2017-07-25,"AEH, GRD",99999,Y,99999,noData,NA,NA,NA,NA
STEPJANMA1,2017-07-25,JLK,3,Y,12,noData,NA,NA,NA,NA
BGCACORNMA1,2017-07-26,"ASJ,JLK,AMT",5,Y,7.5,"YEWA INJURY, BROKEN RIGHT LEG, HAD TO EUTHANIZE",NA,NA,NA,NA
GERKGINCO1,2017-07-26,MM,5,Y,20,"20 non-target birds caught: LEGO, AMGO, MOCH, WBNU, PYNU, COFL",NA,NA,NA,NA
