siteID,date,observer,participantEngagement,encounteredBirds,netHours,notes,entryTime,project,modTime,visitNotes
STALJUDPA1,2017-07-26,LY,3,Y,12,noData,NA,NA,NA,NA
FRONTROVA1,2017-07-27,"BSE,TBR,REZ",noData,Y,0.1,Cannon Camera executives,NA,NA,NA,NA
GOCHJOAMD1,2017-07-27,"JLM,AKW",4,Y,8,noData,NA,NA,NA,NA
JANTCARCO1,2017-07-27,AM,5,Y,9.8,Also caught SAPH,NA,NA,NA,NA
MORRDOUPA1,2017-07-27,LY,3,Y,10,noData,NA,NA,NA,NA
SURNSANMA1,2017-07-27,JLK,4,Y,7.5,`,NA,NA,NA,NA
DUMBOPKDC1,2017-07-28,"DLM,AEH",noData,Y,0,noData,NA,NA,NA,NA
WHEATPKMD1,2017-07-28,"AEH,DLM,KME,GRD",noData,Y,0,noData,NA,NA,NA,NA
YEANDAVPA1,2017-07-28,LY,5,Y,14,noData,NA,NA,NA,NA
BARTTARPA1,2017-07-29,RSM,noData,Y,20,Net hours estimated,NA,NA,NA,NA
GERHEUNPA1,2017-07-29,LY,5,Y,9,"Visit started late due to rain, leaving out point count and resighting.",NA,NA,NA,NA
KAPLRACMA1,2017-07-29,"ASJ,JLK",5,Y,3.75,noData,NA,NA,NA,NA
SEVEMARPA1,2017-07-30,RSM,99999,Y,99999,noData,NA,NA,NA,NA
WILDSIEMA1,2017-07-30,"ASJ,JLK",4,Y,10,noData,NA,NA,NA,NA
STEVSADMA1,2017-07-31,JLK,5,Y,4.5,noData,NA,NA,NA,NA
WESCCATMA1,2017-07-31,ASJ,5,Y,5,noData,NA,NA,NA,NA
WHEATPKMD1,2017-07-31,DLM,99999,Y,99999,noData,NA,NA,NA,NA
KELLSETMA1,2017-08-01,"ASJ,JLK",5,Y,6.25,noData,NA,NA,NA,NA
LYNCPATPA1,2017-08-02,"LY,KC",4,Y,9,noData,NA,NA,NA,NA
NZPSMBCDC1,2017-08-02,"JDC, KKH, BSE, REZ, DEG",noData,Y,99999,noData,NA,NA,NA,NA
WARRPAIMA1,2017-08-03,"ASJ,JLK",5,Y,3.75,noData,NA,NA,NA,NA
HODGBENMA1,2017-08-04,ASJ,5,Y,3.75,noData,NA,NA,NA,NA
JAKUJULMA1,2017-08-04,JLK,5,Y,6,noData,NA,NA,NA,NA
NATIAVIPA1,2017-08-04,RSM,noData,Y,99999,noData,NA,NA,NA,NA
NZPSMBCDC1,2017-08-04,"BSE, REZ, SRP, SKM, RDH",noData,Y,99999,volunteer training day,NA,NA,NA,NA
SIZOOPKDC1,2017-08-04,"BSE,REZ,SRP,SKM,RDH",noData,Y,18.7,NZP banding Sci Building,NA,NA,NA,NA
BECIBARPA1,2017-08-05,RSM,noData,Y,20,Net hours estimated,NA,NA,NA,NA
BULLTHOMA1,2017-08-05,JLK,5,Y,6,noData,NA,NA,NA,NA
KLOTBRUMA1,2017-08-06,"ASJ,JLK",5,Y,6.75,noData,NA,NA,NA,NA
MURPELEMA1,2017-08-07,"ASJ,JLK",5,Y,7.5,noData,NA,NA,NA,NA
BULLTHOMA1,2017-08-08,JLK,5,Y,6,noData,NA,NA,NA,NA
NZPSMBCDC1,2017-08-08,TBR,99999,Y,99999,noData,NA,NA,NA,NA
SPRINBGMA1,2017-08-08,"ASJ,JLK,AMT",5,noData,7,noData,NA,NA,NA,NA
NZPSMBCDC1,2017-08-09,"BSE, REZ, DEG, RDH, VLC, KKH",noData,Y,99999,volunteer training day,NA,NA,NA,NA
NZPSMBCDC1,2017-08-11,"REZ, BSE, DEG, SKM, SRP, KLW",noData,Y,99999,volunteer training day,NA,NA,NA,NA
NZPBIRDDC1,2017-08-16,"REZ, BSE, KKH, DEG, KLW",noData,Y,99999,volunteer training day,NA,NA,NA,NA
NZPSMBCDC1,2017-08-18,"BSE, REZ, VLC, SKM, SRP",noData,Y,99999,volunteer training day,NA,NA,NA,NA
NZPSMBCDC1,2017-08-21,"REZ, BSE",noData,Y,99999,Bahamian students,NA,NA,NA,NA
SIZOOPKDC1,2017-08-21,"BSE,REZ",noData,Y,12,NZP banding Sci Building,NA,NA,NA,NA
NZPBIRDDC1,2017-08-22,"REZ, BSE, KKH",noData,Y,99999,Ivan Selin dog and pony,NA,NA,NA,NA
SIZOOPKDC1,2017-08-22,"BSE,REZ,KKH",noData,Y,5.9,NZP banding Bird House,NA,NA,NA,NA
NZPSMBCDC1,2017-08-23,"DEG, KLW,KKH,REZ,BSE",noData,Y,99999,"Volunteer training day, 2A feeder added yesterday",NA,NA,NA,NA
NZPSMBCDC1,2017-08-30,"BSE, REZ, DEG, VLC, JDC, KKH",noData,Y,99999,Volunteer training day,NA,NA,NA,NA
NZPBIRDDC1,2017-09-01,"BSE, REZ, TBO, KLW, SRP, DEG, RDH, SKM",noData,Y,99999,Volunteer training day,NA,NA,NA,NA
NZPSMBCDC1,2017-09-06,"BSE, REZ, KKH, VLC, RDH, TBO",noData,Y,99999,Volunteer training day,NA,NA,NA,NA
NZPSMBCDC1,2017-09-15,"BSE, REZ, SKM, SRP, ALW, RDH",noData,Y,99999,Volunteer training day,NA,NA,NA,NA
WHEEJENNC1,2017-09-20,AJB,4,Y,4,noData,NA,NA,NA,NA
NZPSMBCDC1,2017-09-27,"BSE, REZ, KKH, VLC, RDH",noData,Y,99999,Volunteer training day,NA,NA,NA,NA
WILLNAHFL1,2016-05-26,ZZ,noData,N,0,noData,NA,NA,NA,NA
STEPGREFL1,2018-04-16,ERF,2: Participant showed only slight interest during visit activities,Captures and resights,12,NA,NA,NA,NA,NA
NOSSANDFL1,2018-04-17,ERF,"3: Participant contributed during one of the visit activities (e.g., banding)",Captures,13.5,NA,NA,NA,NA,NA
NZPSMBCDC1,2018-04-17,REZ,Does not apply,Captures,29,NA,NA,NA,NA,NA
NZPSMBCDC1,2018-04-18,BSE,Does not apply,Captures,16.933333333,NA,NA,NA,NA,NA
NZPSMBCDC1,2018-04-17,BSE,Does not apply,,29,NA,NA,NA,NA,NA
NZPSMBCDC1,2018-04-19,BSE,Does not apply,Captures,NA,NA,NA,NA,NA,NA
NZPSMBCDC1,2018-04-20,BSE,Does not apply,Captures,12.316666667,NA,NA,NA,NA,NA
NZPSMBCDC1,2018-04-23,BSE,Does not apply,Captures,23.733333333,NA,NA,NA,NA,NA
NZPBIRDDC1,2018-04-21,BSE,Does not apply,Captures,0,NA,NA,NA,NA,NA
NZPSMBCDC1,2018-04-24,BSE,Does not apply,Captures,12.35,NA,NA,NA,NA,NA
LERMSUSMA2,2018-04-30,DTM,5: Participant contributed during all visit activities,,20,NA,NA,NA,NA,NA
SALOSHEMD1,2018-05-03,EIE,"3: Participant contributed during one of the visit activities (e.g., banding)",Captures,5.25,NA,NA,NA,NA,NA
ARCADIAMA1,2018-05-05,DTM,Does not apply,,22.916666667,NA,NA,NA,NA,NA
GOODNANMA1,2018-05-07,DTM,"3: Participant contributed during one of the visit activities (e.g., banding)",Captures,8.65,NA,NA,NA,NA,NA
DOPPJANMA1,2018-05-10,KMB,5: Participant contributed during all visit activities,Captures and resights,8.733333333,NA,NA,NA,NA,NA
CLARBRYMA1,2018-05-13,DTM,5: Participant contributed during all visit activities,Captures and resights,21.1,NA,NA,NA,NA,NA
EWINSAMFL1,2018-05-11,BSE,Does not apply,None,0,NA,NA,NA,NA,NA
CAMPGINFL1,2018-05-10,ERF,Does not apply,None,0,NA,NA,NA,NA,NA
BOUGROBFL1,2018-05-10,ERF,Does not apply,Resights,0,NA,NA,NA,NA,NA
NZPSMBCDC1,2018-05-14,BSE,Does not apply,Captures,8.35,NA,NA,NA,NA,NA
BOWEJOHMA1,2018-05-15,DTM,5: Participant contributed during all visit activities,Captures and resights,16.016666667,NA,NA,NA,NA,NA
FRONTROVA1,2018-05-11,BSE,Does not apply,Captures,0,NA,NA,NA,NA,Conservation Immersion Seminar
NZPBIRDDC1,2018-05-12,REZ,Does not apply,Captures,8.5,NA,NA,NA,NA,Migratory Bird Day
NZPSMBCDC1,2018-05-10,REZ,Does not apply,Captures,2.25,NA,NA,NA,NA,"First YAG field trip, staff = REZ, EIE, JYR"
NZPSMBCDC1,2018-04-26,BSE,Does not apply,Captures,6.55,NA,NA,NA,NA,Technician training day
DURBLAUNC1,2017-06-15,AJB,3,Y,4,noData,NA,NA,NA,NA
NICHGLONC1,2017-04-26,AJB,,Captures and resights,8,NA,NA,NA,NA,
GERWJOHNC1,2017-05-05,AJB,,Captures,15.666666667,NA,NA,NA,NA,
CAMPSUSNC1,2017-05-04,AJB,,Captures,8,NA,NA,NA,NA,
SPLAMARMA2,2015-07-01,noData,noData,noData,99999,noData,NA,NA,NA,NA
ATHEJIMMA1,2013-07-11,noData,noData,noData,99999,noData,NA,NA,NA,NA
ATHEJIMMA1,2014-05-22,noData,noData,noData,99999,noData,NA,NA,NA,NA
ATHEJIMMA2,2015-05-09,noData,noData,noData,99999,noData,NA,NA,NA,NA
FORESPKMA1,2018-05-24,KMB,Does not apply,Captures,4.5,YAG banding,1527444506.265,NA,NA,NA
OPALDPKMD1,2018-05-28,DLM,Does not apply,Captures and resights,0,,1527522231.118,NA,NA,NA
AAROJESFL1,2018-05-09,ERF,Does not apply,None,0,resight only,NA,NA,2018-07-11 10:01:57,NA
ANDRJENFL1,2018-05-09,ERF,Does not apply,None,0,Resight only,NA,NA,2018-07-16 10:41:55,NA
CRONCHRVA2,2018-07-19,MAV,Does not apply,None,0,,1532104194.612,Neighborhood Nestwatch,NA,NA
BENNBILMA1,2018-07-12,TAH,Does not apply,Resights,NA,,NA,Neighborhood Nestwatch,2018-07-21 18:37:02,NA
TOSCPAMMA1,2018-07-12,TAH,Does not apply,Resights,NA,,NA,Neighborhood Nestwatch,2018-07-21 18:48:10,NA
HIGGBETMA1,2018-06-22,HLC,Does not apply,Resights,NA,,NA,Neighborhood Nestwatch,2018-09-10 11:56:50,NA
NZPSMBCDC1,2018-10-30,AMB,Does not apply,Captures,0,test,1540909052.894,nzpBanding,NA,NA
NZPSMBCDC1,2018-10-30,BSE,Does not apply,Captures,0,test,1540910271.5,nzpBanding,NA,NA
NZPSMBCDC1,2018-10-30,BSE,Does not apply,Captures,0,test,1540910395.206,nzpBanding,NA,NA
NZPSMBCDC1,2018-10-30,BSE,Does not apply,Captures,0,test,1540910717.957,nzpBanding,NA,NA
NZPSMBCDC1,2018-10-30,BSE,Does not apply,Captures,0,boy howdy,1540915004.753,nzpBanding,NA,NA
NZPSMBCDC1,2018-10-30,BSE,Does not apply,Captures,0,test,1540915854.586,nzpBanding,NA,NA
test,2018-12-07,AMB,,,0,,2018-12-07 11:53:09,Neighborhood Nestwatch,NA,NA
BREMSARFL1,2017-04-06,ERF,-,noData,0,"RESIGHT ONLY, dropped out in  2015",NA,NA,NA,NA
CIBUJEAFL1,2017-04-06,ERF,3,Y,11.5,noData,NA,NA,NA,NA
NZPBIRDDC1,2017-04-06,"JLM,BSE,REZ,CQS,DLM",noData,Y,99999,noData,NA,NA,NA,NA
BANDCATFL1,2017-04-07,ERF,3,Y,13.5,noData,NA,NA,NA,NA
BRYAANGFL1,2017-04-08,ERF,3,Y,14,noData,NA,NA,NA,NA
CHAMPAUGA1,2017-04-09,"CLG,PAULA",4,Y,7,noData,NA,NA,NA,NA
ELLIJONFL1,2017-04-10,ERF,4,Y,13.5,noData,NA,NA,NA,NA
FLOWPATGA1,2017-04-10,"CLG,PAT",3,Y,7.6,noData,NA,NA,NA,NA
COLLKEIFL1,2017-04-11,ERF,3,Y,14.5,noData,NA,NA,NA,NA
NZPBIRDDC1,2017-04-11,"JLM, BSE, REZ",noData,Y,99999,noData,NA,NA,NA,NA
SIMPEDWNC1,2017-04-11,AJB,4,Y,4,noData,NA,NA,NA,NA
KRENMARGA1,2017-04-12,"CLG,MARTHA,NIKOLA",3,Y,8.27,noData,NA,NA,NA,NA
MCCRSARNC1,2017-04-12,AJB,4,Y,4,noData,NA,NA,NA,NA
NZPBIRDDC1,2017-04-12,"JLM, BSE, REZ",noData,Y,99999,noData,NA,NA,NA,NA
LAUESARFL1,2017-04-13,ERF,4,Y,14,noData,NA,NA,NA,NA
NEWTROBNC1,2017-04-13,AJB,5,Y,4.5,noData,NA,NA,NA,NA
WISSSTEGA1,2017-04-13,"CLG,STELLA,JACK",4,Y,4.84,noData,NA,NA,NA,NA
FURRMELGA1,2017-04-14,"CLG,JESSY,MELISSA",4,Y,11.25,noData,NA,NA,NA,NA
IVESALINC1,2017-04-14,AJB,5,Y,2,noData,NA,NA,NA,NA
NZPBIRDDC1,2017-04-14,"JLM, REZ",noData,Y,99999,noData,NA,NA,NA,NA
WILLJIMFL1,2017-04-14,ERF,4,Y,12.5,noData,NA,NA,NA,NA
HOSTMARFL1,2017-04-15,ERF,4,Y,14.5,noData,NA,NA,NA,NA
KEATELINC1,2017-04-15,AJB,3,Y,4,noData,NA,NA,NA,NA
COXANDFL1,2017-04-16,ERF,3,Y,13,noData,NA,NA,NA,NA
HARRMARGA1,2017-04-17,"CLG,MARILYN",3,Y,8.6,noData,NA,NA,NA,NA
MILLMARFL1,2017-04-17,ERF,3,Y,15.5,noData,NA,NA,NA,NA
BELMNIKGA1,2017-04-18,"CLG,NIKKI,ELLORY,CHARLIE",3,Y,14.5,noData,NA,NA,NA,NA
JACOSUSFL1,2017-04-18,ERF,4,Y,8,COULD HAVE EASILY CAUGHT MORE WITH MORE PEOPLE OR MORE TIME,NA,NA,NA,NA
FORESESMD1,2017-04-19,"RR,AKW,KLW",4,Y,13.5,noData,NA,NA,NA,NA
KNOXMIKFL1,2017-04-19,ERF,3,Y,15.5,noData,NA,NA,NA,NA
WOUKKARNC1,2017-04-19,AJB,99999,Y,99999,noData,NA,NA,NA,NA
CARLDAVFL1,2017-04-20,ERF,2,Y,15,noData,NA,NA,NA,NA
COLSKATMD1,2017-04-20,"AKW,KLW,RR",3,Y,7.5,noData,NA,NA,NA,NA
COCKNICFL1,2017-04-21,ERF,-,noData,0,"RESIGHTS ONLY, dropped out in 2017 due to bird injuries in 2015",NA,NA,NA,NA
OBRICHRMD1,2017-04-21,"AKW,KLW",3,Y,7.7,noData,NA,NA,NA,NA
ONEAJACFL1,2017-04-21,ERF,-,noData,0,"RESIGHTS ONLY, moved in 2015",NA,NA,NA,NA
WANGMATNC1,2017-04-21,AJB,3,Y,4,noData,NA,NA,NA,NA
AAROJESFL1,2017-04-22,ERF,-,noData,0,"RESIGHTS ONLY, moved in 2017, willing to participate at new adress",NA,NA,NA,NA
CARRVIRFL1,2017-04-22,ERF,-,noData,0,"RESIGHTS ONLY, moved in 2015",NA,NA,NA,NA
JOHNNORNC1,2017-04-22,AJB,5,Y,4,noData,NA,NA,NA,NA
GRINJENFL1,2017-04-23,ERF,-,noData,0,"RESIGHTS ONLY, moved in 2015",NA,NA,NA,NA
ARLINESVA1,2017-04-24,"KLW,AKW,JLM",3,Y,10.8,noData,NA,NA,NA,NA
NZPSMBCDC1,2017-04-24,"RR, AKW, KLW",99999,Y,99999,noData,NA,NA,NA,NA
ROBIRONFL1,2017-04-24,ERF,4,Y,7.5,COULD HAVE EASILY CAUGHT MORE BIRDS WITH MORE TIME OR TECHS,NA,NA,NA,NA
HANLCORFL1,2017-04-25,ERF,-,noData,0,"RESIGHT ONLY, moved in 2015",NA,NA,NA,NA
MILLKARFL1,2017-04-25,ERF,-,noData,0,"RESIGHT ONLY, dropped out in 2017",NA,NA,NA,NA
PLANANDGA1,2017-04-25,"CLG,LYNN,ANDY",5,Y,10.83,Released several NOCA and 1 TUTI due to scaley legs,NA,NA,NA,NA
JONEHARFL1,2017-04-26,ERF,2,Y,12.5,"UF WILDLIFE GRAD STUDENTS,  WENT TO DO FIELD WORK DURING VISIT",NA,NA,NA,NA
LAKEAESVA1,2017-04-26,"KLW,AKW,JLM",4,Y,7,noData,NA,NA,NA,NA
CHURCARFL1,2017-04-27,ERF,4,Y,14,noData,NA,NA,NA,NA
LAKEAESVA1,2017-04-27,"AKW,KLW,JLM",4,Y,14.2,noData,NA,NA,NA,NA
SKRALOUNC1,2017-04-27,AJB,4,Y,4,noData,NA,NA,NA,NA
DOUGSANFL1,2017-04-28,ERF,3,Y,14,noData,NA,NA,NA,NA
STEWBETMD1,2017-04-28,"JLM,AKW,KLW,RWR",4,Y,9.5,noData,NA,NA,NA,NA
GLORPETNC1,2017-04-29,AJB,4,Y,4,noData,NA,NA,NA,NA
GOWAGEOFL1,2017-04-29,ERF,3,Y,12.9,noData,NA,NA,NA,NA
VONGJENMD1,2017-04-29,"AKW,KLW",4,Y,6,noData,NA,NA,NA,NA
KOWAELIFL1,2017-04-30,ERF,3,Y,11,noData,NA,NA,NA,NA
MANDMARNC1,2017-04-30,AJB,3,Y,4,noData,NA,NA,NA,NA
BAILEESVA1,2017-05-01,"KLW,AKW,JLM",4,Y,10.2,noData,NA,NA,NA,NA
BAILPATNC1,2017-05-01,AJB,1,Y,4,Participant had to work during visit,NA,NA,NA,NA
PALUMATFL1,2017-05-01,ERF,4,Y,14.8,HAD TO RESIGHT ON ANOTHER DAY DUE TO CATCHING 6 BIRDS AT THE LAST MINUTE,NA,NA,NA,NA
BAILEESVA1,2017-05-02,"AKW,KLW,JLM",4,Y,12.7,noData,NA,NA,NA,NA
JENSKEINC1,2017-05-02,AJB,5,Y,4,noData,NA,NA,NA,NA
CAMPGLOMD1,2017-05-03,KLW AKW,2,Y,11.9,noData,NA,NA,NA,NA
NZPSMBCDC1,2017-05-03,"JLM, JAC, REZ, BSE",noData,Y,99999,noData,NA,NA,NA,NA
SCHLROBMD1,2017-05-04,"KLW,AKW",3,Y,15,noData,NA,NA,NA,NA
STRARICFL1,2017-05-04,ERF,3,Y,11.7,noData,NA,NA,NA,NA
CAMPPAUFL1,2017-05-05,ERF,99999,Y,99999,noData,NA,NA,NA,NA
POVEANGGA1,2017-05-05,"CLG,ANGEL",3,Y,10,noData,NA,NA,NA,NA
NZPBIRDDC1,2017-05-06,"REZ, BSE, JLM",noData,Y,99999,banding station at elephant house - migratory bird day,NA,NA,NA,NA
SANFTIFNC1,2017-05-06,AJB,3,Y,4,noData,NA,NA,NA,NA
SIZOOPKDC1,2017-05-06,REZ,99999,Y,99999,noData,NA,NA,NA,NA
STEPMARGA1,2017-05-06,"CLG,MARGARET,JEFF",2,Y,14,noData,NA,NA,NA,NA
MOSELYNNC1,2017-05-07,AJB,5,Y,5,noData,NA,NA,NA,NA
SHAHMAUFL1,2017-05-07,ERF,3,Y,14.5,noData,NA,NA,NA,NA
ADAMVICFL1,2017-05-08,ERF,3,Y,15,noData,NA,NA,NA,NA
LYCEEESMD1,2017-05-08,"AKW,KLW,JLM",4,Y,9.1,noData,NA,NA,NA,NA
TALEKELGA1,2017-05-08,"CLG,KELLY",3,Y,11.25,noData,NA,NA,NA,NA
WALTANNNC1,2017-05-08,AJB,4,Y,4,noData,NA,NA,NA,NA
CAMPPAUFL1,2017-05-09,ERF,3,Y,13.5,noData,NA,NA,NA,NA
CASEANNFL1,2017-05-09,ERF,4,Y,13,noData,NA,NA,NA,NA
CHANSYLGA1,2017-05-09,"CLG,SYLVIA",3,Y,11.8,noData,NA,NA,NA,NA
MARRPETMD2,2017-05-09,"AKW,KLW",4,Y,10,noData,NA,NA,NA,NA
WHEATPKMD1,2017-05-09,"DLM,TBR",noData,Y,0,noData,NA,NA,NA,NA
JOHNAESVA1,2017-05-10,"AKW,KLW,JLM",4,Y,11.5,noData,NA,NA,NA,NA
MCCODINNC1,2017-05-10,AJB,4,Y,4,noData,NA,NA,NA,NA
PFEIJOHFL1,2017-05-10,ERF,99999,Y,99999,noData,NA,NA,NA,NA
BARNCYNCO1,2017-05-11,AM,5,Y,15,noData,NA,NA,NA,NA
PFEIJOHFL1,2017-05-11,ERF,3,Y,15.5,noData,NA,NA,NA,NA
WOLFMARNC1,2017-05-11,AJB,3,Y,4,noData,NA,NA,NA,NA
GERSREBCO1,2017-05-12,AM,5,Y,6,noData,NA,NA,NA,NA
INGRBENFL1,2017-05-12,ERF,3,Y,11.5,noData,NA,NA,NA,NA
JOHNAESVA1,2017-05-12,"AKW,KLW,JLM",4,Y,12.8,noData,NA,NA,NA,NA
NZPBIRDDC1,2017-05-12,"BSE, REZ",noData,Y,99999,noData,NA,NA,NA,NA
FERNBANGA1,2017-05-13,"CLG,JESSY",4,Y,11.75,noData,NA,NA,NA,NA
RACKTRACO1,2017-05-13,AM,4,Y,4.4,Small Yard with nesting Chickadees,NA,NA,NA,NA
JOHNSCOGA1,2017-05-14,"CLG,JACK,SCOTTIE",3,Y,6.5,noData,NA,NA,NA,NA
BAILEESVA1,2017-05-15,"KLW,AKW,JLM",4,Y,12.6,noData,NA,NA,NA,NA
BOHLGEOCO1,2017-05-15,"AM, HD",4,N,8.5,noData,NA,NA,NA,NA
LARSLIDPA1,2017-05-15,LY,noData,Y,99999,noData,NA,NA,NA,NA
LEEDONGA1,2017-05-15,CLG,3,Y,13.12,noData,NA,NA,NA,NA
SORECLYNC1,2017-05-15,AJB,3,Y,0.1,noData,NA,NA,NA,NA
BAILEESVA1,2017-05-16,"AKW,KLW,JLM",4,Y,9.8,noData,NA,NA,NA,NA
CLYDEPKGA1,2017-05-16,TAG,99999,Y,99999,noData,NA,NA,NA,NA
DAYLAUFL1,2017-05-16,ERF,3,Y,11,COULD HAVE EASILY CAUGHT MORE WITH MORE TECHS/ TIME,NA,NA,NA,NA
KOTCMELGA1,2017-05-16,CLG,3,Y,10.6,noData,NA,NA,NA,NA
LERMSUSMA2,2017-05-16,"SBL,JLK",3,Y,600,noData,NA,NA,NA,NA
NZPBIRDDC1,2017-05-16,"BSE, REZ",noData,Y,99999,noData,NA,NA,NA,NA
WHEATPKMD1,2017-05-16,"DLM,TBR,AEH",noData,Y,0,noData,NA,NA,NA,NA
WOHLKENCO1,2017-05-16,AM,4,Y,9,noData,NA,NA,NA,NA
ARCADIAMA1,2017-05-17,SBL,99999,Y,99999,noData,NA,NA,NA,NA
CLYDEPKGA1,2017-05-17,TAG,99999,Y,99999,noData,NA,NA,NA,NA
COTTVANNC1,2017-05-17,AJB,5,Y,4,noData,NA,NA,NA,NA
JAMESESVA1,2017-05-17,"KLW,JLM,AKW",4,Y,10,noData,NA,NA,NA,NA
LERMSUSMA2,2017-05-17,JLK,99999,Y,99999,noData,NA,NA,NA,NA
MANEXXXFL1,2017-05-17,ERF,3,Y,16,noData,NA,NA,NA,NA
DEBRMARNC1,2017-05-18,AJB,5,Y,4,noData,NA,NA,NA,NA
JAMESESVA1,2017-05-18,"KLW,AKW,JLM",4,Y,14.3,noData,NA,NA,NA,NA
LOWRSTEFL1,2017-05-18,ERF,3,Y,7.8,COULD HAVE EASILY CAUGHT WAY MORE WITH MORE TIME/ TECHS,NA,NA,NA,NA
