siteID,date,observer,time,bandNumber,long,lat,type,notes,forayNumber
BRUEELIMD1,2001-05-26,noData,0001,1141-05723,99999,99999,T,noData,99999
BRUEELIMD1,2001-05-09,noData,0001,1141-05724,99999,99999,T,noData,99999
ROHRSALMD1,2001-05-08,noData,0001,1920-85916,99999,99999,T,noData,99999
BRUEELIMD1,2001-05-03,noData,0001,1920-85920,99999,99999,T,noData,99999
TUFTKATMD1,2001-04-02,noData,0001,791-17801,99999,99999,T,noData,99999
SULLPAUVA1,2001-03-15,noData,0001,1920-85883,99999,99999,T,noData,99999
BARBJERMD1,2001-03-15,noData,0001,1920-85906,99999,99999,T,noData,99999
GOCHJOAMD1,2001-03-15,noData,0001,791-17825,99999,99999,T,noData,99999
GOUGGREMD1,2001-03-15,noData,0001,791-17747,99999,99999,T,noData,99999
SIZOOPKDC1,2018-07-10,GRD,0610,2651-64681,NA,NA,I,GWKX,0
WOODSANMA1,2013-05-31,noData,0001,2690-87825,99999,99999,T,noData,99999
CUSHTANMA1,2013-05-29,noData,0001,2531-91149,99999,99999,T,noData,99999
REIDLOLMA1,2018-07-09,SBL,1000,2731-55822,-72.6235,42.3164,I,,0
SURNSANMA1,2018-07-10,TAH,1125,2780-93636,-72.5315,42.364,F,,1
WHEATPKMD1,2018-07-09,KME,0632,2651-64559,,,I,BOGX,0
WHEATPKMD1,2018-07-09,KME,0632,2651-64597,,,I,POMX,0
WHEATPKMD1,2018-07-09,KME,0654,2651-64700,,,I,PWWX,0
WHEATPKMD1,2018-07-09,KME,0708,2651-64626,,,I,MPMX,0
WHEATPKMD1,2018-07-09,GRD,0640,2701-92865,,,I,RGXY,0
WHEATPKMD1,2018-07-09,GRD,0645,2701-92881,,,I,BBPX,0
WHEATPKMD1,2018-07-09,FAC,0615,2671-02032,,,I,RXGW,0
WHEATPKMD1,2018-07-09,FAC,0615,2701-96073,,,I,MXOO,0
WHEATPKMD1,2018-07-09,FAC,0615,2701-96027,,,I,RXYM,0
KALIELINC1,2018-06-29,EAF,0912,2771-40545,-79.03504,35.94918,F,"CARW (GR,X) with CARW (YX,W)",1
KALIELINC1,2018-06-29,EAF,0920,2771-40544,-79.03517,35.9492,F,"CARW (YX,W), with CARW (GR,X)",1
NEWTROBNC1,2018-06-30,EAF,0900,2791-89648,-79.83367,36.19096,F,"CARW male (X,WR)",1
NEWTROBNC1,2018-06-30,EAF,0910,1372-29638,-79.83364,36.19092,F,"AMRO male (X, OW)",1
OWENEDDNC1,2018-07-01,EAF,0940,2771-40539,-78.82102,35.77024,F,"SOSP male (X,WB)",1
SALITYLNC1,2018-06-27,EAF,1050,2791-89643,-78.69347,35.95131,F,"CARW male (X,BO)",1
SIMPEDWNC1,2018-05-20,EAF,1345,2180-92438,-80.49002,35.13063,F,"CACH male (X,PK)",1
SPEAMARNC2,2018-06-22,EAF,1045,2850-20727,-78.82033,35.89931,F,"CACH (GX,Y)",1
MOSMCARMD1,2017-06-07,"AKW,KLW",1045,2711-77547,-76.46943,39.09204,I,"Seen during foray, but could not confirm bands and bird stopped responding to playback and disappeared. Returned after foray to confirm bands.",99999
TANGLAUDC1,2017-06-06,AKW,1030,2671-02002,-76.99185,38.94124,F,"GPS TAG ON BIRD, NESTING IN SHRUB BY FRONT DOOR OF TANGLEY RESIDENCE",1
NZPSMBCDC1,2017-06-05,tag,0720,2341-30178,-77.048765,38.928037,I,"In bushes along edge of Rock Creek, hopped directly on stone bridge by Amazonia",99999
STANJEFMD1,2017-06-01,klw,0945,2421-11974,-77.06886,38.97857,F,"Bird was missing band on right leg. Two GRCAs banded in same year with same left leg combos, RR instructed us to just pick one of the two options, because they were the only possibilities and were banded in the same year so shouldn't impact survival data.",1
DEBRMARNC1,2017-05-18,AJB,0845,2180-92544,99999,99999,I,Missing left leg. Band number is from the only CACH banded at this location with G on right leg.,99999
GELLNERMD1,2002-06-21,noData,0001,791-17073,99999,99999,T,noData,99999
KORRHARMD1,2002-06-21,noData,0001,1751-51937,99999,99999,T,noData,99999
KORRHARMD1,2002-06-21,noData,0001,1141-05584,99999,99999,T,noData,99999
LUCIDANMD1,2002-06-21,noData,0001,1751-51954,99999,99999,T,noData,99999
GIBSELAMD1,2002-06-20,noData,0001,1751-51984,99999,99999,T,noData,99999
GOUGGREMD1,2002-06-20,noData,0001,1141-05729,99999,99999,T,noData,99999
GOUGGREMD1,2002-06-20,noData,0001,1751-51945,99999,99999,T,noData,99999
MISBJANMD1,2002-06-20,noData,0001,2250-24032,99999,99999,T,noData,99999
MISBJANMD1,2002-06-20,noData,0001,1751-51944,99999,99999,T,noData,99999
TATEJUAMD1,2002-06-18,noData,0001,1751-51948,99999,99999,T,noData,99999
MOLIKARMD1,2002-06-17,noData,0001,1751-51970,99999,99999,T,noData,99999
GOUGGREMD1,2002-06-15,noData,0001,791-17747,99999,99999,T,noData,99999
GOUGGREMD1,2002-06-15,noData,0001,791-17745,99999,99999,T,noData,99999
HUTCBARVA1,2002-06-15,noData,0001,1141-05720,99999,99999,T,noData,99999
HUTCBARVA1,2002-06-15,noData,0001,1920-85930,99999,99999,T,noData,99999
REITBOBMD1,2002-06-15,noData,0001,1141-05572,99999,99999,T,noData,99999
NZPSMBCDC1,2002-06-14,noData,0001,1751-51956,99999,99999,T,noData,99999
DORNROBMD1,2002-06-11,noData,0001,791-17829,99999,99999,T,noData,99999
DORNROBMD1,2002-06-11,noData,0001,1152-87548,99999,99999,T,noData,99999
JONECBRMD1,2002-06-11,noData,0001,791-17804,99999,99999,T,noData,99999
MCKEJANMD1,2002-06-11,noData,0001,1920-85886,99999,99999,T,noData,99999
MCKEJANMD1,2002-06-11,noData,0001,791-17092,99999,99999,T,noData,99999
BLOCDAVMD1,2002-06-09,noData,0001,2250-24245,99999,99999,T,noData,99999
NICHALIMD1,2002-06-09,noData,0001,2250-24008,99999,99999,T,noData,99999
