siteID,date,spp,count
JAKUSTEMA1,2018-07-07,GRCA,5
CLARCOLDC1,2018-07-07,GRCA,4
CLARCOLDC1,2018-07-07,AMRO,6
SURNSANMA1,2018-07-10,GRCA,3
SURNSANMA1,2018-07-10,BCCH,3
SURNSANMA1,2018-07-10,SOSP,2
SURNSANMA1,2018-07-10,HOWR,1
SURNSANMA1,2018-07-10,NOCA,3
BOONGREMD2,2018-07-10,CARW,1
BOONGREMD2,2018-07-10,GRCA,7
BOONGREMD2,2018-07-10,HOWR,2
BOONGREMD2,2018-07-10,NOCA,10
BOONGREMD2,2018-07-10,SOSP,2
BULLTHOMA1,2018-07-11,SOSP,1
BULLTHOMA1,2018-07-11,BCCH,2
BULLTHOMA1,2018-07-11,GRCA,9
BULLTHOMA1,2018-07-11,HOWR,2
BULLTHOMA1,2018-07-11,NOCA,3
BULLTHOMA1,2018-07-11,CARW,1
BULLTHOMA1,2018-07-11,AMRO,9
NORTLAUGA1,2018-07-12,BRTH,3
NORTLAUGA1,2018-07-12,CACH,3
NORTLAUGA1,2018-07-12,CARW,6
NORTLAUGA1,2018-07-12,NOCA,17
NORTLAUGA1,2018-07-12,SOSP,7
NORTLAUGA1,2018-07-12,TUTI,7
KEYESUSMD1,2018-07-06,GRCA,3
KEYESUSMD1,2018-07-06,NOCA,1
STEVSADMA1,2018-07-08,AMRO,7
STEVSADMA1,2018-07-08,GRCA,1
STEVSADMA1,2018-07-08,NOCA,1
BENNBILMA1,2018-07-12,GRCA,5
BENNBILMA1,2018-07-12,NOCA,5
BENNBILMA1,2018-07-12,HOWR,2
BENNBILMA1,2018-07-12,SOSP,8
BENNBILMA1,2018-07-12,BCCH,5
TOSCPAMMA1,2018-07-12,AMRO,5
TOSCPAMMA1,2018-07-12,GRCA,5
TOSCPAMMA1,2018-07-12,BCCH,1
TOSCPAMMA1,2018-07-12,SOSP,6
TOSCPAMMA1,2018-07-12,HOWR,2
HINTLORNC1,2018-07-09,CACH,7
HINTLORNC1,2018-07-09,CARW,20
HINTLORNC1,2018-07-09,NOCA,22
HINTLORNC1,2018-07-09,AMRO,11
HINTLORNC1,2018-07-09,GRCA,4
MOSELYNNC1,2018-07-12,AMRO,8
MOSELYNNC1,2018-07-12,CACH,7
MOSELYNNC1,2018-07-12,CARW,3
NEWTROBNC1,2018-06-30,CARW,5
NEWTROBNC1,2018-06-30,SOSP,2
NEWTROBNC1,2018-06-30,NOCA,8
NEWTROBNC1,2018-06-30,AMRO,5
NEWTROBNC1,2018-06-30,NOMO,4
