userId,bandNumber,date,time,comment,sessionId
KEVIN,2701-74745,2018-11-20,13:42 UTC,,NA
KEVIN,2741-54668,2018-11-20,13:42 UTC,,NA
KEVIN,O_GG,2018-11-20,15:02 UTC,,NA
KEVIN,2840-12279,2018-11-20,15:03 UTC,,NA
KEVIN,2471-68219,2018-11-20,15:03 UTC,Male,NA
KEVIN,2471-68095,2018-11-20,15:03 UTC,,NA
KEVIN,2471-68010,2018-11-20,15:04 UTC,,NA
KEVIN,2741-54668,2018-11-20,15:27 UTC,,NA
KEVIN,2471-68203,2018-11-20,15:28 UTC,,NA
KEVIN,2471-68028,2018-11-20,15:29 UTC,,NA
KEVIN,2711-77194,2018-11-20,15:29 UTC,,NA
KEVIN,2471-68020,2018-11-20,15:31 UTC,,NA
KEVIN,2840-12359,2018-11-20,15:43 UTC,,NA
KEVIN,2840-12279,2018-11-20,15:43 UTC,,NA
BRIAN,2741-54668,2018-11-20,19:45 UTC,,NA
BRIAN,2701-39091,2018-11-20,19:45 UTC,,NA
BRIAN,2571-90159,2018-11-20,19:46 UTC,,NA
BECCA,2701-74787,2018-11-20,19:51 UTC,,NA
BRIAN,2750-41578,2018-11-20,19:51 UTC,,NA
BECCA,2840-12279,2018-11-20,19:52 UTC,,NA
BRIAN,2840-12279,2018-11-20,19:52 UTC,,NA
BECCA,2741-54668,2018-11-20,19:57 UTC,,NA
KEVIN,2701-74784,2018-11-20,20:08 UTC,,NA
KEVIN,2711-77194,2018-11-20,20:10 UTC,,NA
KEVIN,2701-74781,2018-11-20,20:12 UTC,,NA
KEVIN,2421-11615,2018-11-20,20:13 UTC,2010!!!! New record?,NA
KEVIN,2471-68010,2018-11-20,20:13 UTC,,NA
BRIAN,2421-11615,2018-11-20,20:14 UTC,,NA
BECCA,2421-11615,2018-11-20,20:16 UTC,look into this one,NA
BRIAN,2701-74725,2018-11-20,20:17 UTC,,NA
BRIAN,2471-68010,2018-11-16,20:18 UTC,,NA
BRIAN,2701-74795,2018-11-16,20:20 UTC,,NA
BRIAN,2711-77194,2018-11-16,20:23 UTC,,NA
BRIAN,2471-68223,2018-11-16,20:24 UTC,,NA
BRIAN,2471-68236,2018-11-16,20:25 UTC,,NA
BRIAN,2471-68028,2018-11-16,20:27 UTC,,NA
BRIAN,2741-54668,2018-11-17,13:23 UTC,,NA
BRIAN,2701-74784,2018-11-17,13:25 UTC,,NA
BRIAN,KG_Y,2018-11-17,13:32 UTC,,NA
BRIAN,2471-68024,2018-11-17,13:34 UTC,,NA
BRIAN,W_OG,2018-11-17,13:38 UTC,,NA
BRIAN,2840-12274,2018-11-17,13:42 UTC,,NA
